input,ideal
"Floyd Mayweather v Manny Pacquiao will be the biggest fight of all time financially and the most significant this century. Evaluating the greatest ever fights is a complex variable of several factors including not only the quality and excitement of the action but the political, social and cultural undertones, the scale of expectation and outside influences. Where Money Man v PacMan comes to rank among the most important fights in ring history will depend upon what happens that coming night in the MGM Grand Garden Arena. In this, the sixth in a series of 12 fights that shaped boxing history, I recall when a hard man could take no more... THE NO MAS FIGHT . New Orleans, Louisiana . November 25, 1980 . Sugar Ray Leonard v Roberto Duran . The first two of the three fights between the Sugar Man and Hands of Stone raised the curtain on what is considered the golden age of boxing in the classic middling weights of boxing, with Ray Leonard, Roberto Duran, Thomas Hearns and Marvin Hagler engaging each other in some of the ring’s epic battles. By way of a preview, Leonard had defeated the previous — and equally great — Felix Trinidad to win the world welterweight title. Sugar Ray Leonard celebrates after Roberto Duran quit in their fight in Louisiana in November 1980 . Leonard decided to use his exceptional speed and movement to beat the Panamanian in the second fight . GEORGE FOREMAN V MUHAMMAD ALI . October 30, 1974, Kinshasa, Zaire . JOE FRAZIER v MUHAMMAD ALI . March 8, 1971, Madison Square Garden, New York . JACK JOHNSON v JAMES JEFFRIES . July 4, 1910, Reno, Nevada . JOE LOUIS v MAX SCHMELING . June 22, 1938, Yankee Stadium, New York . MUHAMMAD ALI V JOE FRAIZIER . October 1, 1975, Quezon City, Philippines . In his first defence, Sugar Ray had been contentiously outpointed by Duran in Montreal’s Olympic Stadium. So confused was the scoring that the result was first announced as a majority decision. That was changed to unanimous in Duran’s favour after one judge was found to have totalled his score incorrectly and his card was altered from a draw to 148-147. There was more uproar when that judge was revealed to have marked just three rounds in favour of Duran and only two for Leonard — with 10 even. That was described as ‘a monument to indecision’. Come the inevitable rematch eight months later, in the Louisana Superdome in New Orleans on November 25, 1980, controversy was to be replaced by disbelief. Leonard had gambled in the first fight by taking the macho decision to take on the Panamanian hard man in a mano-a-mano slug-out. Second time around he wisely chose to use his exceptional ability, especially his speed and movement. Duran became frustrated as Leonard danced around him before unleashing his punches . After being caught flush in the face in the eighth round, Duran turned his back and said 'No mas' ‘The whole fight I was moving. Moving. Then voom, I’d snap his head back with a jab. Voom, I’d snap it back again. He’d try to get me on the ropes. I’d pivot, spin off and pow, come under with a punch.’ So it went for more than seven rounds, with Duran becoming increasingly frustrated. In the eighth Leonard cranked up the psychological pressure by waving his right arm in circles and then planting a left flush in Duran’s face. There had been a moment earlier when Leonard appeared to pat him playfully on the backside. Just before the bell Duran turned his back and walked to his corner, waving his arms to indicate he was finished and famously telling the referee: ‘No mas.’ Spanish for no more. Leonard celebrates after his opponent quit, and said it was more of an achievement than knocking Duran out . The result stunned the watching world, and it took three years for Duran to rebuild his reputation . The watching world was stunned. Here was one of the most heroic warriors in boxing history quitting in the most humiliating manner possible. Clearly he felt humiliated. Sensing the reaction Duran claimed he had stomach cramps caused by eating too heavily after the morning weigh-in. But his manager Carlos Eleta said: ‘He always eats like that before a fight. He quit because he was embarrassed.’ Duran had been a national icon in Panama and there was anger on the streets at his action. Television commercials featuring him were taken off. It took three years for Duran to restore his high place in his country’s esteem. He did so on June 16, 1983, his 32nd birthday, by knocking out Davey Moore in Las Vegas to win the world light-middleweight title. Rejoicing returned to the streets. Leonard...","Floyd Mayweather v Manny Pacquiao is now just nine days away . Sportsmail's Jeff Powell has been counting down the greatest fights . In the sixth of a series of 12 fights that shaped boxing history, we have Sugar Ray Leonard v Roberto Duran . Leonard humiliated his opponent until he said 'No Mas' - no more . It took Duran three years to reclaim his mantle as a hero in Panama ."
"Three people have been sent to prison and another two are awaiting sentencing for their roles in a horrific assault on a 53-year-old man, who was beaten, tied to a chair,  and covered in offensive tattoos. A Philadelphia court heard Thursday that Corry 'Corey' Campbell, 21, was the ringleader of the gang, who have become known as the 'tattoo terrorists'. Campbell believed the victim, Greg Valecce, had hurt his cat, Pebbles. Valecce, an unemployed drug addict, had been staying in the basement of Campbell's mother's house in Mayfair, in the city's northeast, however that basement would become a torture chamber where he would be strapped to a chair and violated for three days. Torture chamber: Corry 'Corey' Campbell, 21 (left), the ringleader of a gang dubbed the 'tattoo terrorists' was jailed for 20 years Thursday for the abuse in March/April 21. David Harrison (right) is awaiting sentencing . Accomplices: Sandra Ng, 19 (left), Campbell's girlfriend, was sentenced to 23 months in state prison for her role in the shocking assault last year, while another defendant Jennifer Pratt, 40, is awaiting trial . Campbell apparently discovered that Pebbles had suffered a broken leg and had reason to believe Valecce was responsible. The incident occurred in late March 2014, according to Philly.com. Campbell, his girlfriend Sandra Ng, 19, and friend Carl Halin, 18, cornered Valecce in the basement and took turns punching, slapping and spitting on him. On top of hurting Pebbles, Campbell believed Valecce had also stolen money and some weed. The trio, described by the paper as 'wannabe gangsters', filmed the abuse, with the video played in court this week. 'Please stop,' Valecce could be heard saying while crying into his hands. 'Please, please stop.' Ng could be heard in every video screaming at Valecce to stand up, so she could pummel him and call him a 'b----'. After Valecce was beaten he was tied to a chair. While restrained Campbell tattooed 'RIP Pebbles' onto his right arm along with a smiley face that had breasts for eyes and a penis for a nose. Halin then took over the tattoo gun. He inked swastikas, Stars of David, two variations of the N-word and a penis ejaculating on a rainbow with the words 'Gay Pride' beside it, Philly.com reported. Valecce suffered three busted ribs, two broken wrists and fractured bones in his face. He was able to escape on April 1 while the others slept and contact police. The incident lasted about 42 hours, the court was told. Scene: The abuse occurred in the basement of a rowhouse on Brighton Ave, Mayfair in north Philadelphia . Dur­ing a search of the house, po­lice al­legedly found a tat­too gun, needles, ink vi­als and re­lated paraphernalia, along with 155 grams of marijuana, sev­er­al bottles of pre­scrip­tion drugs and Valecce's deb­it card, which he claimed had been stolen from him. Valecce has since had the tattoos removed, with a local parlor giving him free service, but says the incident has left him with irrevocable damage. 'I'm scared to go outside now,' Valecce told Common Pleas Court Judge Charles Ehrlich Thursday. 'I have nightmares. I can't sleep.' All three were charged with aggravated assault, conspiracy and false imprisonment. They all pleaded guilty. Campbell's attorney said his client had a rough childhood, with his father leaving, suicide attempts and dependencies on Xanax and weed. He was sentenced to 20 years in state prison. Halin received the same sentence for what he did to Valecce. Ng, whose attorney who said she had fallen in with the wrong people at school, was sentenced to 23 months in a state prison. Another man involved, David Thomas, 28, is awaiting sentencing, while another defendant Jennifer Pratt, 40, is awaiting trial.","Greg Valecce, 53, had swastikas, Stars of David, two variations of the N-word, a penis and other offensive symbols tattooed on his arms . Also suffered three broken ribs, both broke wrists and fractured facial bones . Incident occurred in Mayfair, Philadelphia, in March/April 2014 . Corry 'Corey' Campbell, 21, believed Valecce had harmed his cat . Campbell and four others tortured Valecce for three days . Campbell was sentenced to 20 years prison, along with friend Carl Halin, 18 . His girlfriend received Sandra Ng, 18, received 23 months . Two others are awaiting sentencing ."
"A singing three piece of dogs exercised their vocal chords and produced a musical ensemble for the benefit of their owner. Captured in a front room in Bahama, North Carolina, the three dogs – a Husky called Sky, a brown and white Springer Spaniel called Sadie and a black and white Springer Spaniel called Marshall – take their positions on their make-shift stage. Getting the tune underway, Sadie begins barking and then rests her muzzle on Sky’s ear as if whispering something – Sky reacts by playfully mouthing in her direction. The video begins with Sadie the Springer Spaniel barking and interacting with the Husky named Sky . The Springer Spaniel then begins barking some more and suddenly the Husky joins it, but instead produces a far more pleasant sounding howl. Following the Husky’s lead, the Spring Spaniel begins howling itself and before long the two dogs are musically bouncing off one another. Meanwhile the other Springer Spaniel moves about the room wagging its tail in an overly excited manner. No, it's like this! The Husky begins howling, causing the Springer Spaniel to stop barking and follow its lead . All together now! The three dogs point their noses to the sky and howl together in harmony . Before getting itself into position and producing a sound somewhere between a growl and a baritone howl, which adds a further dimension to the music being produced by the duo. The trio now harmonising with one another kick the performance up a gear by pointing their noses to the sky and howling even louder. The howling goes on for quite a few seconds with none of the dogs – who continue to wag their tails – showing any signs of letting up. No encore? The owner calls for quiet and the dogs stop howling and look at him in surprise . Eventually the video concludes with the filmmaker saying: ‘Hey, hey, hey, come on, come on.’ And the three dogs, rather put out about being interrupted, stopping and turning to look at him in surprise.","The dogs called Sky, Sadie and Marshall each stand in the front room . Springer Spaniel begins barking before Husky turns song into howl . Third dog joins in with the song and the three dogs howl even louder . Before owner interrupts them and they stop and stare at him in surprise ."
"A high-level ministerial briefing exclusively obtained by Daily Mail Australia reveals an 'unprecedented' number of Australians could face the death penalty in China for drug smuggling. The revelation follows widespread public anger at Indonesia's executions of Australian nationals Myuran Sukumaran and Andrew Chan despite the pleas of the Federal government. It also comes as one of the few Australians known to be facing death row in China - Sydney man Peter Gardner - had his case pushed forward by six months. 'The number and seriousness of current cases of Australians potentially facing the death penalty in China is unprecedented,' said the Department of Foreign Affairs and Trade document, which was dated December 2, 2014. Chinese authorities have said that eleven Australians were apprehended on suspected drug smuggling charges in Guangzhou alone in 2014 - a crime punishable by death. Scroll down for video . Australian citizen Ibrahim Jalloh (pictured) is reportedly facing drugs charges in Guangzhou province . Peter Gardner (left) and Kalynda Davis (right) were apprehended in Guangzhou. Davis was allowed to go free when charges were withdrawn but Gardner's case has been brought forward by six months . Jockey Anthony Roger Bannister (pictured) was charged with importing 3kg of methamphetamine . The exact number facing possible death sentences was redacted in the briefing, obtained under freedom of information laws, which added: 'None of those detained was born in China or is a former Chinese national. 'All were arrested for drug-related offences'. The document said consular assistance was provided to the Australians, including monitoring developments, prisoner welfare visits, and keeping in contact with family or nominated contacts. Other possible steps appeared to be redacted. Chinese prosecutors are reportedly seeking the death penalty against jockey Anthony Roger Bannister, 43, from Adelaide, who was charged with allegedly attempting to smuggle 3kg of methamphetamine from Guangzhou to Australia. Another citizen, Ibrahim Jalloh and his friend Bengali Sherrif were arrested at Guangzhou Airport in July over alleged drug crimes. Sherrif is reported to have been granted a suspended death sentence and Jalloh has not yet faced trial, according to the ABC. Other names have not been released. Do you know more? Daniel.Piotrowski@mailonline.com . Drug ring? Many of those facing death row were trying to import or export the drug 'ice' into or out of Guangzhou. Pictured above is Guangzhou International Airport . The confidential DFAT briefing concerned Gardner and his then-girlfriend, Penrith woman Kalynda Davis. Ms Davis was freed without charge following a traumatic month in a Chinese prison last year where she was forced to crop her hair short. The pair had met on Tinder. Ms Davis's friends realised something was wrong when she failed to appear as a bridesmaid at a friend's wedding in early November. The file also revealed the importance the government placed in not speaking publicly about her case at the time of her imprisonment. 'Given the timing of the investigative period and the possible death penalty involved,' DFAT asked that 'no information about this case be disclosed.' Authorities alleged Gardner tried to smuggle 30kg of methamphetamine out of China to Australia. When Ms Davis returned to Sydney, her father revealed she was cleared by Chinese authorities because she had carry-on luggage only . Rose Kulak, death penalty campaigner for Amnesty International, told Daily Mail Australia: 'China executes more people than the rest of the world combined.' 'With a 99 per cent conviction rate in China, once you are sentences to death, it is a very precarious situation you are in,' Ms Kulak said. Approximately 8 per cent of all recorded executions in China last year were carried out for drug-related crimes, Amnesty said. The Gardner family has requested privacy and won't comment to the media while the case proceeds. A spokeswoman for the Foreign Minister was approached for comment but was unavailable to respond by Daily Mail Australia's deadline. A spokesman for Opposition foreign affairs spokeswoman Tanya Plibersek said Australia should lead efforts against the death penalty, 'in particular working with the United Nations'. Sorry we are not currently accepting comments on this article.","Number and seriousness of Australians facing death penalty in China is 'unprecedented' That's according to a high-level ministerial briefing obtained by Daily Mail Australia under freedom of information laws . Many Australians arrested were caught in Guangzhou province - a production hub of the drug 'ice' As many as 11 were arrested in Guangzhou alone in 2014 . A prominent jockey and four other citizens are known to be potentially facing death row, including Kalynda Davis's former partner Peter Gardner . Ms Davis, 22, was freed without charge in December after a month spent in a Chinese prison . Do you know more? Daniel.Piotrowski@mailonline.com ."
"(CNN)Rebekah Gregory blinked back tears as she thought about the verdict. It had been almost two years since Dzhokhar Tsarnaev and his brother planted bombs at the Boston Marathon, setting off deadly explosions that wounded her and hundreds of others. In court last month, she testified that one of the blasts on that day in 2013 left her lying in the street, staring at her own bones. Now, jurors have found him guilty on all 30 counts he faced for the deadly bombings and their aftermath. But no verdict can ever totally make up for the pain, she said. ""I don't believe that there will ever be justice brought to this, no mater if he does get the death penalty or he remains in prison for the rest of his life,"" she said, crying as she spoke to reporters outside her Texas home. ""I do believe, however, that he should be held accountable for his actions. And I'm very thankful for each of the jury members that are making him do that."" Gregory, who wrote a widely publicized letter to Tsarnaev after testifying, said the trial has left her and other victims reeling from a flood of emotions as they relive horrifying memories, but it's an important step. ""Everything is being brought up again full force. Our lives will never ever be the same, but I hope with this we can move forward and remember that we are still here for a reason, that there's a bigger plan,"" she said. ""I may be standing on one fake leg, but I'm standing here, stronger than ever, because someone tried to destroy me, and he failed."" For Gregory and others who lived through the 2013 attack, Wednesday's verdict brought a mix of emotions, from triumphant vows to move forward, to expressions of gratitude, to debate over whether Tsarnaev should be sentenced to death. There were no outbursts inside the federal courthouse in Boston. In fact, there was barely any peripheral noise as people sat on the edges of their seats. As Tsarnaev fidgeted and scratched the back of his head, some survivors and victims' family members lowered their heads and dabbed tears. As CNN's Alexandra Field noted from inside the courtroom, ""They've waited a long time for this."" The family of Sean Collier, a 26-year-old police officer shot to death in his patrol car on the campus of the Massachusetts Institute of Technology, said Tsarnaev and his brother, Tamerlan, were terrorists who ""failed monumentally"" in striking fear in people. ""While today's verdict can never bring Sean back, we are thankful that Dzhokhar Tsarnaev will be held accountable for the evil that he brought to so many families,"" the Collier family said in a written statement. To Richard ""Dic"" Donohue, an MBTA police officer left in a pool of blood after being wounded in a shootout with the Tsarnaevs in Watertown, the verdicts show that ""as a society, ... terrorism will not prevail, and we will hold those accountable for their acts against our nation."" ""Justice has been served today,"" Donahue tweeted. Survivor Karen Brassard said she needed to attend the trial to help her heal. She doesn't believe Dzhokhar Tsarnaev's brother Tamerlan, now dead, persuaded him to take part in the plot, as the defense contended. Dzhokhar, in her view, was ""all in."" ""Obviously we are grateful for the outcome today,"" Brassard tolder reporters. ""It's not a happy occasion, but it's something that we can put one more step behind us."" That sense of turning the page was echoed by Bruce Mendelsohn, who is among those who rushed to save lives at the marathon finish line. The verdicts mean that Dzhokhar Tsarnaev is no longer a bombing suspect -- he is now officially a ""convicted killer."" You can't call it celebration. But there is a newfound peace of mind, at least, in and around Boston. This was a community that suffered greatly after the bombing and subsequent manhunt. And they got through it by rallying around each other, a deep bond reflected in the mantra ""Boston Strong."" That feeling was reaffirmed all around the city by Wednesday's verdict. And it's evident in people like Heather Abbott, who lost her left leg below the knee. Since then, she's become a living example of someone who wasn't stopped by the terror -- learning not only to walk again, but to run again. ""Nothing can ever replace the lives that were lost or changed forever,"" Abbott said Wednesday on Facebook. ""But at least there is some relief in knowing that justice is served and responsibility will be taken."" That view was commonly shared. For those hurt -- physically, mentally, emotionally -- by the horrors of 2013, Wednesday was key to their progression. But it's not the end of the road. Just ask Jeff Bauman. The...","Survivor Jeff Bauman stresses ""we will never replace the lives that were lost"" A man who was at the finish line is glad Dzhokhar Tsarnaev is now a ""convicted killer"" ""Justice has been served today,"" says a once wounded police officer ."
"Chelsea are in early discussions over a possible partnership with Belgian club Royal Mouscron-Peruwelz. Mouscron, in Belgium's Pro League, had a partnership with Lille but the French side are now poised to link up with another Belgian club, Ostend, leaving room for a new deal and Chelsea are the preferred option. The Belgian club have been in the top flight for a season since winning promotion via the play-offs last summer. They are 13th in the table, two points above the relegation places. Chelsea are in early discussions over a possible partnership with Belgian club Royal Mouscron-Peruwelz . Mouscron had a partnership with Lille but that is now set to end meaning there is to be room for Chelsea . Mouscron are currently 13th in Belgium's Pro League, with players including Tristan Dingome (left) Chelsea already have an agreement with Vitesse Arnhem in Holland and have been looking at other link-ups across Europe to help develop their squad. Vitesse currently have Chelsea's Josh McEachran, Bertrand Traore and Wallace on their books as they look to seek Europa League qualification from the Dutch Eredivisie. Midfielder Nemanja Matic is the only current regular first-team player in Jose Mourinho's squad to have spent time on loan with the Dutch club. Bertrand Traore is one of three players currently on loan at Vitesse Arnhem from Chelsea this season . Blues midfielder Nemanja Matic spent time on loan at Vitesse before moving to Benfica and then back .",Chelsea are in early discussions over a possible partnership in Belgium . The Pro League's Royal Mouscron-Peruwelz are the prospective partners . Chelsea already have an agreement with Vitesse Arnheim in Holland . CLICK HERE for all the latest Chelsea news .
"A Texas A&M, Galveston, professor decided to fail his entire class after he claimed that they cheated in class and were disruptive and rude. In a letter he sent to his strategic management students, Professor Irwin Horwitz claimed that he had seen cheating, heard false rumors about himself and other students and had been called a 'f****** moron' to his face. Horwitz's email said that every single student in the approximately 30-person class would fail because of the behavior he had witnessed during the semester. The university has said that the failing grades Horwitz's wishes to give out will not hold. Texas A&M, Galveston, professor Irwin Horwitz emailed his strategic management class of about 30 students telling them he was going to fail all of them because of the bad behavior he had seen during the semester . In the email - he sent a similar one to administrators - he claimed students cheated in class and participated in 'inappropriate conduct' His email to his students read: 'None of you, in my opinion, given the behavior in this class, deserve to pass, or graduate to become an Aggie, as you do not in any way embody the honor that the university holds graduates should have within their personal character. 'Since teaching this course, I have caught and seen cheating, been told to ‘chill out,’ ‘get out of my space,’ ‘go back and teach,’ [been] called a ‘f****** moron’ to my face, [had] one student cheat by signing in for another, one student not showing up but claiming they did, listened to many hurtful and untrue rumors about myself and others, been caught between fights between students…. 'None of you, in my opinion, given the behavior in this class, deserve to pass, or graduate to become an Aggie, as you do not in any way embody the honor that the university holds graduates should have within their personal character. 'It is thus for these reasons why I am officially walking away from this course. I am frankly and completely disgusted. 'You all lack the honor and maturity to live up to the standards that Texas A&M holds, and the competence and/or desire to do the quality work necessary to pass the course just on a grade level…. I will no longer be teaching the course, and all are being awarded a failing grade.' Inside Higher Ed . 'It is thus for these reasons why I am officially walking away from this course. I am frankly and completely disgusted. 'You all lack the honor and maturity to live up to the standards that Texas A&M holds, and the competence and/or desire to do the quality work necessary to pass the course just on a grade level…. I will no longer be teaching the course, and all are being awarded a failing grade.' Horwitz, who has taught at the college level for 20 years, sent a similar email to senior administrators telling them what he had done, according to Inside Higher Ed. He predicted that his students would protest his decision and told administration that the students were 'your problem now'. A university spokesman said that across-the-board failing grades would be re-evaluated. 'No student who passes the class academically will be failed. That is only the right thing to do,' he said. He added that Horwitz's accusations are being investigated and 'disciplinary action will be taken' against those students who behaved inappropriately. Horwitz, who said he will not teach the class again, called his class's behavior 'disgraceful' and told KPRC that he had never failed a class before and rarely gave out failing grades. 'I was dealing with cheating, dealing with individuals swearing at me both in and out of class, it got to the point that the school had to put security guards at that class and another class,' he said. 'Sometimes learning incorporates tough love.' Vice President of Academic Affairs Patrick Lauchouarn said that Horwitz cannot give failing grades to an entire class and each student will be judged academically by the department head rather than Horwitz for the remainder of the semester . He said that his students told him to 'chill out' and cited student cheating in his email. 'It became apparent that they couldn't do some of the most simple and basic things they should have been able to do,' Horwitz told KPRC. Vice President of Academic Affairs Patrick Lauchouarn said that Horwitz cannot give failing grades to an entire class, especially before the end of the semester, in May. 'None of them have failed until the end of the class, meaning the only reason a student would fail because he or she has not performed the expectations for that particular class,' he said. The department head at the university will teach the course for the remainder of...","Texas A&M, Galveston professor Irwin Horwitz sent an email to his strategic management class telling the approximately-30-person class would all fail . In the email he said he witnessed cheating, false rumors and bad behavior . He said in his 20 years of teaching he had never failed a class and rarely failed students . The university administration has said that the failing grades will not hold . Department head is taking over Horowitz's class and students will be graded solely on academics ."
"A few years ago, Gemma Collins was selling secondhand cars in Romford, but it appears her real knack is for designing clothes. The 34-year-old star of The Only Way Is Essex has launched her updated fashion range for plus-size retailer Evans. She showcased the collection this evening at one of the high street chain's flagship stores in Manchester. Scroll down for video . Gemma Collins launched several additions to her Evans range today at the chain's Manchester store . Gemma, who has expanded her popular range with seven new curve-flattering tops and dresses, looked like a breath of fresh spring air in a floral number from her collection. The star teamed the ruched blue and pink dress with a pair of simple black stilettos and a golden tan. Speaking to FEMAIL yesterday ahead of the launch, Gemma revealed much of her triumph comes from inspiring voluptuous women to feel more confident. She said: 'I heard a saying once, ""I'm an hourglass just with more sand"", and I love that. I think that sums me up as I have curves and love my shape.' The star looked very summery in a blue floral number from the collection . New additions include brightly coloured swing tops and blouses, as well as a pair of floral fringed kimonos; all in the same flattering cuts that have cemented her status as one of the nation's most popular plus-size designers. 'Plus-size fashion is evolving and becoming more stylish, and it's great as my collection is all about embracing your curves and feeling confident,' Gemma tells us. 'Always wear what you feel confident in. If you feel great, you'll look good.' Speaking about her ever-evolving line last month, the bubbly blonde said: 'I love feedback from my customers and this collection is definitely based on that. Gemma looked proud to be showing off her new designs with the store . Gemma Collins has expanded her popular range of plus-size clothing for Evans with a handful of new curve-flattering garments. Kimono £39 . The 34-year-old star of The Only Way Is Essex is proud to have gone from selling cards in Romford to being the face and force behind a successful clothing brand. Dress £40 . 'I heard a saying once ""I'm an hourglass just with more sand"", and I love that!' Gemma tells FEMAIL. 'I think that sums me up as I have curves and love my shape.' Kimono £39 . She continued: 'There’s some ruching, illusion panels and some pretty wow shapes that are magic at slimming and flattering. 'It's a bit sexy but fun with some sophisticated pieces too; a bit like me really!'. Gemma explains that she started the collection because she wanted to show curvy women out there how to embrace their curves. She said: 'You know big IS beautiful.' The TOWIE star has taken inspiration from the catwalks and is keen to show her fans that you don’t have to be size six to rock a fashion trend and to feel confident. 'Everyone needs a bit of ""Gemma Collins confidence,"" baby!' she laughed. Sharing her top tips for how women can flatter themselves come spring, Gemma, who cites Beth Ditto, Oprah Winfrey and Dawn French as her muses, said: 'Not all girls are brave enough to try something new and be a bit bold so this range is amazing for flattering girls so that they can be brave and experiment a bit more. 'I get so many women messaging me thanking me because they tried something of mine that was out of their comfort zone and rocked it.' 'Plus-size fashion is evolving and becoming more stylish, and it's great as my collection is all about embracing your curves and feeling confident,' Gemma tells us. New Orleans top £35 . The TOWIE star has taken inspiration from the catwalks and is keen to show her fans that you don’t have to be size six to rock a fashion trend. Swing Top £35 . The blonde star says she designs everything with her customers in mind and even takes the time to read through comments on her Twitter to see what changes women would like to see in her clothes. Clearly Gemma's hard work is paying off; her range is stocked in 16 Evans stores nationwide, as well as on their website. 'It is surreal,' said Gemma of her latest gig. 'When I found out I was so happy, it was my mum's birthday so we celebrated that night with a couple of glasses of bubbly. 'It means a lot that plus-size women out there still love my dresses and now it's being recognised by a company as big as Evans, amazing.' 'I get so many women messaging me thanking me because they tried something of mine that was out of their comfort...","Gemma Collins, 34, launched several additions to her Evans range today . The star paid a nod to the summery weather in a floral dress . New additions to collection include a lacy LBD and a set of floral kimonos ."
"First it was revealed that lashings of baby oil were used to keep Aidan Turner's rippling torso looking suitably divine in the hit BBC Sunday night series Poldark. Then came the admission that while Aidan, 31, very 'definitely' did not wear mascara to enhance his seductive stares, he was partial to a little eyeliner to define his smouldering eyes. Now, it seems eagle-eyed Poldark fans have a new question on their lips: just where has Aidan's chest hair gone? Scroll down for video . A good smattering! Has actor Aidan Turner, who has admitted to using baby oil to show off his physique to maximum effect, been 'manscaping' his once-hairy chest in favour of a less hirsute look? Definitely no 'scything' here...Aidan's chest hair looks distinctly more unkempt in this photo shoot for BBC comedy drama Being Human, which aired earlier this year . New images have emerged of the Irish star, whose brooding good looks have seen him capture a million hearts, looking a little more, shall we say, hirsute. In images shot to promote another BBC series Being Human, the actor, who is dating fellow rising Irish star Sarah Greene, appears to have a much thicker chest of hair, suggesting that he's done away with his natural rug in a bid to really show off the muscles underneath. Although it seems the BBC make-up department may have gone for a little gentle pruning rather than offering up the full, shaven reveal in a bid to stay true to the 18th century male grooming that Ross Poldark himself might have partaken in. It's unlikely that such a character would have reached for the razor, so a smattering of hair remains. Aidan's chest has been the subject of much viewer devotion throughout the series so far, thanks to the actor disrobing in plenty of scenes. Fans have taken to Twitter to comment on the latest Poldark male grooming debate. One viewer, @AidanTurner_Fan, remarked that she would rather see her favourite star with a full rug: 'Asked to shave his chest hair off?!! I'd rather he had it all!' Scythed but not clean shaven? The brooding star has stubble but not the bearded look the actor appears to favour in real life . Still brooding but a more natural image: A bearded Aidan pictured with his girlfriend Sarah Greene at the premiere for The Hobbit back in 2014 . While others have commented that even a smattering is too much. User Laura Kate said: 'I just can't forgive that chest hair. I just can't! But it's Aiden turner I could try. #Poldark'. And some got hot under the collar at the very thought of it. Tattooed_Mummy wrote on the social media site: 'I can't think of anything other than running my hands through Ross Poldark's chest hair.' The actor has confessed that he is 'inherently lazy' when it comes to perfecting his body beautiful and only really got in shape for Poldark as filming start dates approached. 'I worked hard for six weeks, killing myself in the gym, watching what I eat and staying away from bad food. But I would never, ever do all that if I wasn't prepping for a role. That's the only time it just happens,' he explained. 'I'm not like that now. I'm back to my usual soft self.'",Photos taken for BBC show Being Human see Aidan Turner with a full 'rug' ...but his chest hair in Poldark's shirtless scenes looks distinctly pruned . Fans take to Twitter to comment on new Poldark male grooming debate . Aidan admits he uses baby oil to make his muscles look good in the series .
"A plane passenger got the shock of his life when he assaulted a man who was a former corrections officer. Chad Hurst of Salt Lake City, Utah, says he pulled the young man aside after their flight from Denver, Colorado had landed on Sunday, and had a word with him about the foul language he had been using on the plane. That is when the young man, who was carrying a skateboard, sucker punched Hurst. Scroll down for video . Good Samaritan: Chad Hurst (right in hat) spoke to a young man about his foul language during their flight when they landed in Salt Lake City on Sunday . Lashing out: The young man then sucker punched Hurst in the stomach (above) Hurst then calmly proceeded to grab the young man by the shoulder, bring him to the ground, put his hands behind his back and get on top of him until police arrived on the scene. CBS Denver reports the young man was then charged with assault and public intoxication. 'In a former life I was a corrections officer about 10 years ago and my training was to never punch back. It was to control the situation and to take the person down,' said Hurst. That is just what Hurst did too, with the entire incident lasting just a few seconds before the young man was on the ground. Taking him down: Hurst, a former corrections officer, then grabbed the young man (above) and took him down . Taken in: The young man, who has still not been named by police, was charged with assault and public intoxication . As for what prompted the young man to hit him, Hurst later explained on Twitter; 'I asked him kindly to stop being vulgar.' The young man has yet to be named by police.","Chad Hurst of Salt Lake City, Utah was sucker punched by a plane passenger when they landed in the city Sunday . This after Hurst asked the young man to stop using foul language following their flight . Hurst, a former corrections officer, then took down the man and pinned his arms behind his back while waiting for law enforcement . The young man, who has still not been named by police, was charged with assault and public intoxication ."
